userId,txid,createdAt,pay,per,skill,portfolio,available,bio
55,4be828a4f072b4a375cf1e9188b7a8cd7c383971ae1dbe756219b9959e458205,2023-03-24T13:19:01.326093+00:00,5 BSV,Project,Strategy ,https://blog.twetch.com/author/vincent/,Yes,TBC
55,389403033adfcbd2b9ff6daf51feabf3c09ecfd8249f7a72e9ddbf035ca2e930,2021-11-18T15:29:59.255986+00:00,5%,Project,Project Management,Pending,Yes ✅ ,I like to work! 
55,94ac43acfa0e6433c67d9eee7a940c8844b951c9cd0b2a72b4748589d30b8ee1,2021-11-29T10:12:34.753421+00:00,XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ,TEST,TEST,XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ XYZ,✅ ,XYZ
28962,e56e09f25d49852d423364ab4b028648f02b35b21a755034e3dbbfcd0f9efdfd,2021-11-29T12:47:53.17148+00:00,0.25 BSV,Hour ,Senior Node.js developer.,,Are you available? ✅,https://lanmower-bio.glitch.me/
55,c925a1271e68f57e94377463dee48ef764dc3b2d413b989c98e082e6b657ee92,2021-11-29T16:20:59.177581+00:00,5%,Dispute,Arbitration,bizniz.builders,✅,If you want an unbiased 3rd party to resolve a conflict I will be the right man for the job.  Dispute resolution made simple. 👍
55,37ab8078a2e63351c3743a177ca137908b00ba5a099a1d75bb4b30abf5129489,2021-11-29T17:49:46.328583+00:00,5% ,Dispute ,Arbitration ,bizniz.builders ,✅ ,If you want an unbiased 3rd party to resolve a conflict I will be the right man for the job. Dispute resolution made simple. 👍
55,8a2db6538e7681a4922b7a7478dfae376f163ff1ebc139d478dc85cbc8baf521,2021-11-29T18:39:42.60258+00:00,5% ,Dispute ,Arbitration ,Available Upon Request ,✅ ,If you want an unbiased 3rd party to resolve a conflict I will be the right man for the job. Dispute resolution made simple. 👍
183,8fb723eb649c9c58a74875a6105d888fd5f74050c50c15413ad4c24c4c986804,2021-11-30T13:26:40.791786+00:00,xBSV,Project,I will help your business get into the Japanese market,https://www.linkedin.com/in/arco-oliemans-05790390/,✅ ,I have successfully set up and/or ran multiple companies in Japan. I speak fluent Japanese and have a wide network. 
101,3c179862a8edeb8841eca307c2986e680af9fa7bac2c0a41460d753ee9f8f322,2021-12-01T12:52:23.663973+00:00,3 BSV  ,Day ,"UX Design, Product, Concept, Identity",https://stefan.landrock.io,✅ ,"I have many years of experience in product driven design and development. I know how to make lemonade out of lemons and get your product right on track, quickly and with ease."
55,ee301432647f37068b877598bbfe28e204f5ed9d83c1dc917c70f7bc1c25aa13,2021-12-02T19:38:28.469089+00:00,0.55 BSV,Hour,Devil's Advocate Discussion,Upon Request,✅,"My aim is to cast a critical, yet helpful, eye on any topic you choose. The end goal is to add value to you and those around you."
176,345775c8fbc454491531f42b6433d00e76597d7486398abfd672f45b20599bda,2021-12-02T20:40:42.965797+00:00,$77,Hour,"E-commerce, WordPress, Hosting (Apache, cPanel, WHMCS), TLS/SSL, DNS, Paid Online Advertising, SEO and lots more.",JoinBSV.com / ElvesOfBitCoin.com / Follow VegardWikeby.com,❌,I am building on BSV with my 15+ years of expertise with e-commerce and building website fronts online; starting with JoinBSV.com and lots of fun projects like ElvesOfBitCoin.com that will be popping up like whack-a-moles over the next years!
357,a801a50dc9e86a322766b0a6e865128391265043a94f0593cc1e68f3985ce3d9,2021-12-02T23:22:03.079103+00:00,1 BSV,Design,"graphic design, print design",https://twetch.com/t/a4628356ed011cf011ba5ce55f292044be2c83c851cb3f8287cc5be6337b9848,✅,"needful doer, will work with you toward your goal"
46019,393035a3096584b59c0020ee4015c38fefe8ce69ba63ec45deaa3ace7b334bae,2021-12-04T08:39:26.37491+00:00,0.44 BSV,Design,"Poster Design,T-shirt,litle 3d design,logo,graphic design,video editing",https://www.instagram.com/inkst.r/,Can you work #soon? ✅ ,
61522,0768c7321a5484a5a0eb144bedc4134067e7b92d0af425d83bcfbe9b204fce82,2021-12-05T19:20:39.983677+00:00,1 BSV ,Project ,"Bitcoin Consulting, Music career consulting, flyer design, music booking, tour management, event security, Proofreeding, Resume writing, songwriting, guitar, vocals, music recording, airbnb consulting",Twitter: @jondomedia,✅,I have 10 years of success in these industries.
2535,d27fd520ba38124a30a783b6fa2ebce2b8ade8ec8d3ca2db8afa3233dddaccae,2021-12-07T22:38:18.231374+00:00,0.218 BSV,Project,I will make a YouTube video about a topic of your choice.,https://youtu.be/GVVP8xL1hzg,,Mastered the art of combining various types of information in unique and thought provoking ways that leave the viewer questioning foundational aspects of their personal reality.
24205,8b83593d44034f3451972f92a50d16174df5b35be814723ff32daef4e4a76f66,2021-12-08T20:42:54.644273+00:00,.5 BSV,Hour,Creative copy writing,I write a 20 minute speech (sermon) every week. Available here: https://www.facebook.com/WedoweeFirstUMC ,Available to start work within 48 hours and deliver upon agreed upon deadline,"I have 20 years experience writing weekly sermons.  I've learned to produce upon deadline - every week, without fail.  I've learned how to present concepts in engaging ways to maintain interest and use my language in ways that can be easily understood by lay people, while also delving deep into meaningful topics."
39741,e27dda1d762042ef36cafb4788b5a564b48d233f55a9836900ba3161cdf3735c,2021-12-09T12:48:11.908812+00:00,$33,Hour,"Data analysis/viz, xAMP fullstack dev",tangerinelaboratories.com,✅ ,Hire me to build your web page and find better ways to present your data.
127,4e7a2cf9874d8d0307b67f432d72dafee5e4ee2617cd276ea114bc70cf431216,2021-12-11T19:31:06.339266+00:00,$250,page,distill highly technical concepts into digestible summaries that frame narrative in most legally compliant manner (not legal services),🔜,4pgs/week or more,"In the course of over a decade in academia and industry, I have developed and unique set of generalized technical, legal, & business skills"
11254,2b2f5f7954e8cd2d102d3b1b2af6797b08cf812c82cb98079b36608ac28bd2b9,2021-12-13T09:55:36.421399+00:00,0.55 BSV,Project,Video graphics,https://videohive.net/user/wynio/portfolio,#soon? ✅,I'm fast and I deliver short video intros or logo animations.
4,7dee5338906de533905a91282a6128f38c434fa62e1fb5c0c09cdc5a7db231ef,2021-12-13T09:56:20.687406+00:00,BSV,Project,CEO ,I never lose. ,Yes,I only win.
451,1d6a495098eb3e88d0a41f23f95c6bcff423c6ce15dde7ccf54840f0a21445cc,2021-12-13T10:33:50.131167+00:00,$45 ,hour,"weld, shitpost, memes, audio/visual",dm for more info,✅ check thru dm,
381,4f7017debfee26ed983eca546895f808c32741adbcd274ab89f4cd2a57ce6cda,2021-12-13T11:53:04.684781+00:00,21800BSV,Project,Zero to One, Soon,Yes,Need you. 
32353,fe2d938e0b471be54aaf75a8c0bb9b5749d4f00560b8146af139d6c05c7268c8,2021-12-13T11:53:27.889518+00:00,BSV,Project,Knowledge guided by experience.,"Just letting you others know, second place is still First looser....",#soon? ✅ ,Just this guy you know.
22356,73d6b52b0fd6fc455e21a9f471d8a4d9fc35524ac8dc744b38f4223e67b6c41e,2021-12-13T12:14:51.583021+00:00,3 BSV,Day,"Product Ops // Tech Docs, Training & Comms // Scrum & Team Mgmt",Upon request,✅,"15 yrs exp in tech documentation & product // communicative, reliable and efficient"
2469,2811d1469d2ce525f5af1808c27e688f82f0c210fe185fd0f13c94676587ab57,2021-12-13T13:17:11.606807+00:00,420 BSV,🦎,Pissing off Lizards.,2000 Years of Wars,✅,"I am highly trained in psychological operations with my main aim of breaking down lizards mentally, physically & spiritually. 🙏 Life"
75407,6f35805ff64bbe156338b32d850332e3e802c8d6c2c5d1c39c2188cec125631d,2021-12-13T13:34:17.266812+00:00,3,project,dgital instrumentals production,italian king of the beats 2012,new year,sampling and loopsmaster
356,cb91da86caad37b8496e9270d68f19a8cd8198a5447b414f4f052f51e1892176,2021-12-13T17:12:12.549753+00:00,Fed IOUs,Stimulus bill,Society’s leech,*See previous stimulus packages,Until the Fed runs out of other people’s money,Why are you the right person for the job? I take and don’t give
